Time,VehicleId,Pos_x,Pos_y,Speed,Lane,Acceleration,LeaderID,LeaderSpeed,LeaderGap,Deceleration,RelativeSpeed,TTC,SafeDistance,hard_brake,danger_accel_toward_leader,leader_stopped,no_reaction_to_stopped_leader,SafeDangerZone
8.1,10101,-60.0,-1.6,0.0,21,0.0,-1,-1.0,-1.0,0.0,1.0,999.0,0.0,False,False,False,False,0
8.2,0,-62.81,1.6,12.9,20,2.92,-1,-1.0,-1.0,0.0,13.9,999.0,3.87,False,False,False,False,0
8.2,2,19.63,1.6,7.1,14,-2.0,-1,-1.0,-1.0,2.0,8.1,999.0,2.13,False,False,False,False,0
8.2,3,34.12,1.6,6.99,14,-2.0,2,7.1,9.49,2.0,-0.10999999999999943,999.0,2.0970000000000004,False,False,False,False,1
8.2,10101,-60.0,-1.6,0.0,21,0.0,-1,-1.0,-1.0,0.0,1.0,999.0,0.0,False,False,False,False,0
8.3,0,-61.51,1.6,12.99,20,0.89,-1,-1.0,-1.0,0.0,13.99,999.0,3.897,False,False,False,False,0
8.3,2,18.94,1.6,6.9,14,-2.0,-1,-1.0,-1.0,2.0,7.9,999.0,2.0700000000000003,False,False,False,False,0
8.3,3,33.42,1.6,6.94,14,-0.51,2,6.9,9.48,0.51,0.040000000000000036,236.9999999999998,2.0820000000000003,False,False,False,False,1
8.3,10101,-60.0,-1.6,0.0,21,0.0,-1,-1.0,-1.0,0.0,1.0,999.0,0.0,False,False,False,False,0
8.4,0,-60.24,1.6,12.76,20,-2.36,-1,-1.0,-1.0,2.36,13.76,999.0,3.8280000000000003,False,False,False,False,0
8.4,2,18.27,1.6,6.7,14,-2.0,-1,-1.0,-1.0,2.0,7.7,999.0,2.0100000000000002,False,False,False,False,0
8.4,3,32.75,1.6,6.74,14,-1.99,2,6.7,9.48,1.99,0.040000000000000036,236.9999999999998,2.0220000000000002,False,False,False,False,1
8.4,10101,-60.0,-1.6,0.0,21,0.0,-1,-1.0,-1.0,0.0,1.0,999.0,0.0,False,False,False,False,0
8.5,0,-58.95,1.6,12.89,20,1.31,-1,-1.0,-1.0,0.0,13.89,999.0,3.8670000000000004,False,False,False,False,0
8.5,2,17.62,1.6,6.5,14,-2.0,-1,-1.0,-1.0,2.0,7.5,999.0,1.9500000000000002,False,False,False,False,0
8.5,3,32.09,1.6,6.58,14,-1.68,2,6.5,9.47,1.68,0.08000000000000007,118.3749999999999,1.9740000000000002,False,False,False,False,1
8.5,10101,-60.0,-1.6,0.0,21,0.0,-1,-1.0,-1.0,0.0,1.0,999.0,0.0,False,False,False,False,0
8.6,0,-57.65,1.6,13.0,20,1.12,-1,-1.0,-1.0,0.0,14.0,999.0,3.9000000000000004,False,False,False,False,0
8.6,1,-81.66,-1.6,6.45,21,1.28,10101,0.0,16.66,0.0,6.45,2.5829457364341084,1.935,False,False,True,False,1
8.6,2,16.99,1.6,6.3,14,-2.0,-1,-1.0,-1.0,2.0,7.3,999.0,1.8900000000000001,False,False,False,False,0
8.6,3,31.45,1.6,6.38,14,-2.0,2,6.3,9.46,2.0,0.08000000000000007,118.2499999999999,1.9140000000000001,False,False,False,False,1
8.6,10101,-60.0,-1.6,0.0,21,0.0,-1,-1.0,-1.0,0.0,1.0,999.0,0.0,False,False,False,False,0
8.7,0,-56.35,1.6,12.96,20,-0.44,-1,-1.0,-1.0,0.44,13.96,999.0,3.888,False,False,False,False,0
8.7,1,-80.99,-1.6,6.63,21,1.87,10101,0.0,15.99,0.0,6.63,2.411764705882353,1.989,False,False,True,False,1
8.7,2,16.38,1.6,6.1,14,-2.0,-1,-1.0,-1.0,2.0,7.1,999.0,1.83,False,False,False,False,0
8.7,3,30.82,1.6,6.38,14,0.07,2,6.1,9.43,0.0,0.28000000000000025,33.678571428571395,1.9140000000000001,False,False,False,False,1
8.7,10101,-60.0,-1.6,0.0,21,0.0,-1,-1.0,-1.0,0.0,1.0,999.0,0.0,False,False,False,False,0
8.8,0,-55.07,1.6,12.82,20,-1.37,-1,-1.0,-1.0,1.37,13.82,999.0,3.846,False,False,False,False,0
8.8,1,-80.31,-1.6,6.81,21,1.77,10101,0.0,15.31,0.0,6.81,2.2481644640234952,2.0429999999999997,False,False,True,False,1
8.8,2,15.79,1.6,5.9,14,-2.0,-1,-1.0,-1.0,2.0,6.9,999.0,1.7700000000000002,False,False,False,False,0
8.8,3,30.19,1.6,6.28,14,-1.06,2,5.9,9.4,1.06,0.3799999999999999,24.736842105263165,1.884,False,False,False,False,1
8.8,10101,-60.0,-1.6,0.0,21,0.0,-1,-1.0,-1.0,0.0,1.0,999.0,0.0,False,False,False,False,0
8.9,0,-53.77,1.6,13.0,20,1.84,-1,-1.0,-1.0,0.0,14.0,999.0,3.9000000000000004,False,False,False,False,0
8.9,1,-79.61,-1.6,7.0,21,1.91,10101,0.0,14.61,0.0,7.0,2.087142857142857,2.0999999999999996,False,False,True,False,1
8.9,2,15.22,1.6,5.7,14,-2.0,-1,-1.0,-1.0,2.0,6.7,999.0,1.7100000000000002,False,False,False,False,0
8.9,3,29.58,1.6,6.09,14,-1.86,2,5.7,9.36,1.86,0.3899999999999997,24.000000000000018,1.827,False,False,False,False,1
8.9,10101,-60.0,-1.6,0.0,21,0.0,-1,-1.0,-1.0,0.0,1.0,999.0,0.0,False,False,False,False,0
