"Time","VehicleId","Pos_x","Pos_y","Type","Speed","Lane","Slope","LeaderID","LeaderSpeed","LeaderGap","Acceleration"
"5.00","vehicle_1","-94.71","-1.60","type5","0.76","west_right_0","0.00","vehicle_0","7.95","5.61","1.78"
"5.00","vehicle_2","52.16","1.60","type3","13.40","east_left_0","0.00","-1","-1","-1","-2.00"
"5.00","vehicle_3","64.82","1.60","type3","12.45","east_left_0","0.00","vehicle_2","13.40","7.66","3.80"
"5.00","vehicle_4","-1.60","73.49","type2","11.46","north_down_0","0.00","-1","-1","-1","1.11"
"5.00","vehicle_5","-1.60","88.85","type4","7.90","north_down_0","0.00","vehicle_4","11.46","10.36","6.89"
"5.00","x","-71.48","-1.60","obstacle","9.66","west_right_0","0.00","-1","-1","-1","-2.40"
"5.10","vehicle_0","-83.33","-1.60","type1","7.68","west_right_0","0.00","x","9.31","7.78","-2.71"
"5.10","vehicle_1","-94.61","-1.60","type5","0.92","west_right_0","0.00","vehicle_0","7.68","6.29","1.58"
"5.10","vehicle_2","50.84","1.60","type3","13.20","east_left_0","0.00","-1","-1","-1","-2.00"
"5.10","vehicle_3","63.60","1.60","type3","12.25","east_left_0","0.00","vehicle_2","13.20","7.76","-2.00"
"5.10","vehicle_4","-1.60","72.34","type2","11.48","north_down_0","0.00","-1","-1","-1","0.25"
"5.10","vehicle_5","-1.60","88.05","type4","8.03","north_down_0","0.00","vehicle_4","11.48","10.70","1.26"
"5.10","x","-70.54","-1.60","obstacle","9.31","west_right_0","0.00","-1","-1","-1","-3.44"
"5.20","vehicle_0","-82.57","-1.60","type1","7.55","west_right_0","0.00","x","8.91","7.92","-1.26"
"5.20","vehicle_1","-94.51","-1.60","type5","1.08","west_right_0","0.00","vehicle_0","7.55","6.93","1.59"
"5.20","vehicle_2","49.54","1.60","type3","13.00","east_left_0","0.00","-1","-1","-1","-2.00"
"5.20","vehicle_3","62.39","1.60","type3","12.05","east_left_0","0.00","vehicle_2","13.00","7.85","-2.00"
"5.20","vehicle_4","-1.60","71.23","type2","11.17","north_down_0","0.00","-1","-1","-1","-3.17"
"5.20","vehicle_5","-1.60","87.20","type4","8.42","north_down_0","0.00","vehicle_4","11.17","10.98","3.97"
"5.20","x","-69.65","-1.60","obstacle","8.91","west_right_0","0.00","-1","-1","-1","-4.00"
"5.30","vehicle_0","-81.85","-1.60","type1","7.20","west_right_0","0.00","x","8.51","8.05","-3.50"
"5.30","vehicle_1","-94.38","-1.60","type5","1.26","west_right_0","0.00","vehicle_0","7.20","7.53","1.79"
