Time,VehicleId,Pos_x,Pos_y,Angle,Type,Speed,Lane,Slope,Acceleration,LeaderID,LeaderSpeed,LeaderGap
5.2,10101,-69.65,-1.6,90,obstacle,8.91,west_right_0,0,-4,-1,-1,-1
5.3,0,-81.85,-1.6,90,type1,7.2,west_right_0,0,-3.5,10101,8.51,8.05
5.3,1,-94.38,-1.6,90,type5,1.26,west_right_0,0,1.79,0,7.2,7.53
5.3,2,48.26,1.6,270,type3,12.8,east_left_0,0,-2,-1,-1,-1
5.3,3,61.21,1.6,270,type3,11.85,east_left_0,0,-2,2,12.8,7.95
5.3,4,-1.6,70.08,180,type2,11.48,north_down_0,0,3.15,-1,-1,-1
5.3,5,-1.6,86.32,180,type4,8.83,north_down_0,0,4.04,4,11.48,11.24
5.3,10101,-68.8,-1.6,90,obstacle,8.51,west_right_0,0,-4,-1,-1,-1
5.4,0,-81.17,-1.6,90,type1,6.85,west_right_0,0,-3.5,10101,8.11,8.18
5.4,1,-94.24,-1.6,90,type5,1.4,west_right_0,0,1.42,0,6.85,8.07
5.4,2,46.99,1.6,270,type3,12.67,east_left_0,0,-1.35,-1,-1,-1
5.4,3,60.04,1.6,270,type3,11.65,east_left_0,0,-2,2,12.67,8.05
5.4,4,-1.6,68.98,180,type2,11.01,north_down_0,0,-4.66,-1,-1,-1
5.4,5,-1.6,85.44,180,type4,8.78,north_down_0,0,-0.45,4,11.01,11.47
5.4,10101,-67.99,-1.6,90,obstacle,8.11,west_right_0,0,-4,-1,-1,-1
5.5,0,-80.5,-1.6,90,type1,6.65,west_right_0,0,-2.04,10101,7.71,8.28
5.5,1,-94.08,-1.6,90,type5,1.58,west_right_0,0,1.73,0,6.65,8.58
5.5,2,45.75,1.6,270,type3,12.47,east_left_0,0,-2,-1,-1,-1
5.5,3,58.9,1.6,270,type3,11.45,east_left_0,0,-2,2,12.47,8.15
5.5,4,-1.6,67.86,180,type2,11.2,north_down_0,0,1.87,-1,-1,-1
5.5,5,-1.6,84.52,180,type4,9.2,north_down_0,0,4.18,4,11.2,11.67
5.5,10101,-67.22,-1.6,90,obstacle,7.71,west_right_0,0,-4,-1,-1,-1
5.6,0,-79.85,-1.6,90,type1,6.53,west_right_0,0,-1.2,10101,7.31,8.36
5.6,1,-93.91,-1.6,90,type5,1.72,west_right_0,0,1.47,0,6.53,9.06
5.6,2,44.52,1.6,270,type3,12.27,east_left_0,0,-2,-1,-1,-1
5.6,3,57.77,1.6,270,type3,11.25,east_left_0,0,-2,2,12.27,8.25
5.6,4,-1.6,66.75,180,type2,11.07,north_down_0,0,-1.34,-1,-1,-1
5.6,5,-1.6,83.59,180,type4,9.31,north_down_0,0,1.12,4,11.07,11.84
5.6,10101,-66.49,-1.6,90,obstacle,7.31,west_right_0,0,-4,-1,-1,-1
5.7,0,-79.22,-1.6,90,type1,6.33,west_right_0,0,-2.02,10101,6.93,8.42
5.7,1,-93.72,-1.6,90,type5,1.86,west_right_0,0,1.33,0,6.33,9.51
5.7,2,43.31,1.6,270,type3,12.07,east_left_0,0,-2,-1,-1,-1
5.7,3,56.64,1.6,270,type3,11.28,east_left_0,0,0.3,2,12.07,8.33
5.7,4,-1.6,65.64,180,type2,11.12,north_down_0,0,0.5,-1,-1,-1
5.7,5,-1.6,82.68,180,type4,9.15,north_down_0,0,-1.65,4,11.12,12.04
5.7,10101,-65.79,-1.6,90,obstacle,6.93,west_right_0,0,-3.83,-1,-1,-1
5.8,0,-78.61,-1.6,90,type1,6.08,west_right_0,0,-2.42,10101,6.53,8.47
5.8,1,-93.52,-1.6,90,type5,1.99,west_right_0,0,1.32,0,6.08,9.92
5.8,2,42.13,1.6,270,type3,11.87,east_left_0,0,-2,-1,-1,-1
5.8,3,55.54,1.6,270,type3,11.08,east_left_0,0,-2,2,11.87,8.41
5.8,4,-1.6,64.49,180,type2,11.45,north_down_0,0,3.29,-1,-1,-1
5.8,5,-1.6,81.71,180,type4,9.67,north_down_0,0,5.24,4,11.45,12.22
5.8,10101,-65.14,-1.6,90,obstacle,6.53,west_right_0,0,-4,-1,-1,-1
5.9,0,-78.03,-1.6,90,type1,5.76,west_right_0,0,-3.21,10101,6.21,8.51
5.9,1,-93.31,-1.6,90,type5,2.15,west_right_0,0,1.59,0,5.76,10.28
5.9,2,40.96,1.6,270,type3,11.67,east_left_0,0,-2,-1,-1,-1
5.9,3,54.44,1.6,270,type3,10.93,east_left_0,0,-1.5,2,11.67,8.48
5.9,4,-1.6,63.37,180,type2,11.25,north_down_0,0,-1.94,-1,-1,-1
5.9,5,-1.6,80.71,180,type4,9.99,north_down_0,0,3.22,4,11.25,12.34
5.9,10101,-64.52,-1.6,90,obstacle,6.21,west_right_0,0,-3.22,-1,-1,-1
6,0,-77.46,-1.6,90,type1,5.76,west_right_0,0,-0.07,10101,5.81,8.51
6,1,-93.08,-1.6,90,type5,2.3,west_right_0,0,1.48,0,5.76,10.63
6,2,39.81,1.6,270,type3,11.47,east_left_0,0,-2,-1,-1,-1
6,3,53.37,1.6,270,type3,10.73,east_left_0,0,-2,2,11.47,8.56
6,4,-1.6,62.26,180,type2,11.09,north_down_0,0,-1.61,-1,-1,-1
6,5,-1.6,79.73,180,type4,9.79,north_down_0,0,-2.05,4,11.09,12.47
6,10101,-63.94,-1.6,90,obstacle,5.81,west_right_0,0,-4,-1,-1,-1
6.1,0,-76.91,-1.6,90,type1,5.43,west_right_0,0,-3.26,10101,5.41,8.51
6.1,1,-92.84,-1.6,90,type5,2.41,west_right_0,0,1.13,0,5.43,10.93
6.1,2,38.69,1.6,270,type3,11.27,east_left_0,0,-2,-1,-1,-1
6.1,3,52.32,1.6,270,type3,10.53,east_left_0,0,-2,2,11.27,8.63
6.1,4,-1.6,61.13,180,type2,11.24,north_down_0,0,1.45,-1,-1,-1
6.1,5,-1.6,78.73,180,type4,10.05,north_down_0,0,2.65,4,11.24,12.59
6.1,10101,-63.4,-1.6,90,obstacle,5.41,west_right_0,0,-4,-1,-1,-1
6.2,0,-76.37,-1.6,90,type1,5.41,west_right_0,0,-0.24,10101,5.01,8.47
6.2,1,-92.59,-1.6,90,type5,2.53,west_right_0,0,1.24,0,5.41,11.21
6.2,2,37.58,1.6,270,type3,11.07,east_left_0,0,-2,-1,-1,-1
6.2,3,51.28,1.6,270,type3,10.33,east_left_0,0,-2,2,11.07,8.7
6.2,4,-1.6,59.98,180,type2,11.54,north_down_0,0,2.98,-1,-1,-1
6.2,5,-1.6,77.72,180,type4,10.08,north_down_0,0,0.28,4,11.54,12.74
6.2,10101,-62.9,-1.6,90,obstacle,5.01,west_right_0,0,-4,-1,-1,-1
6.3,0,-75.86,-1.6,90,type1,5.12,west_right_0,0,-2.84,10101,4.61,8.42
6.3,1,-92.31,-1.6,90,type5,2.72,west_right_0,0,1.87,0,5.12,11.45
6.3,2,36.49,1.6,270,type3,10.87,east_left_0,0,-2,-1,-1,-1
6.3,3,50.27,1.6,270,type3,10.13,east_left_0,0,-2,2,10.87,8.78
6.3,4,-1.6,58.84,180,type2,11.39,north_down_0,0,-1.5,-1,-1,-1
6.3,5,-1.6,76.72,180,type4,10.01,north_down_0,0,-0.72,4,11.39,12.88
6.3,10101,-62.44,-1.6,90,obstacle,4.61,west_right_0,0,-4,-1,-1,-1
6.4,0,-75.37,-1.6,90,type1,4.89,west_right_0,0,-2.26,10101,4.21,8.35
6.4,1,-92.03,-1.6,90,type5,2.89,west_right_0,0,1.66,0,4.89,11.66
6.4,2,35.43,1.6,270,type3,10.67,east_left_0,0,-2,-1,-1,-1
6.4,3,49.28,1.6,270,type3,9.93,east_left_0,0,-2,2,10.67,8.85
6.4,4,-1.6,57.73,180,type2,11.16,north_down_0,0,-2.24,-1,-1,-1
6.4,5,-1.6,75.67,180,type4,10.5,north_down_0,0,4.9,4,11.16,12.94
6.4,10101,-62.02,-1.6,90,obstacle,4.21,west_right_0,0,-4,-1,-1,-1
6.5,0,-74.91,-1.6,90,type1,4.59,west_right_0,0,-3.03,10101,3.81,8.27
6.5,1,-91.72,-1.6,90,type5,3.08,west_right_0,0,1.96,0,4.59,11.81
6.5,2,34.38,1.6,270,type3,10.47,east_left_0,0,-2,-1,-1,-1
6.5,3,48.3,1.6,270,type3,9.73,east_left_0,0,-2,2,10.47,8.92
6.5,4,-1.6,56.61,180,type2,11.12,north_down_0,0,-0.44,-1,-1,-1
6.5,5,-1.6,74.63,180,type4,10.43,north_down_0,0,-0.64,4,11.12,13.01
6.5,10101,-61.64,-1.6,90,obstacle,3.81,west_right_0,0,-3.94,-1,-1,-1
6.6,0,-74.46,-1.6,90,type1,4.49,west_right_0,0,-0.98,10101,3.41,8.17
6.6,1,-91.4,-1.6,90,type5,3.19,west_right_0,0,1.05,0,4.49,11.94
6.6,2,33.35,1.6,270,type3,10.27,east_left_0,0,-2,-1,-1,-1
6.6,3,47.34,1.6,270,type3,9.59,east_left_0,0,-1.45,2,10.27,8.99
6.6,4,-1.6,55.52,180,type2,10.98,north_down_0,0,-1.36,-1,-1,-1
6.6,5,-1.6,73.62,180,type4,10.08,north_down_0,0,-3.51,4,10.98,13.1
6.6,10101,-61.3,-1.6,90,obstacle,3.41,west_right_0,0,-4,-1,-1,-1
6.7,0,-74.02,-1.6,90,type1,4.39,west_right_0,0,-1.08,10101,3.01,8.03
6.7,1,-91.06,-1.6,90,type5,3.38,west_right_0,0,1.9,0,4.39,12.04
6.7,2,32.35,1.6,270,type3,10.07,east_left_0,0,-2,-1,-1,-1
6.7,3,46.4,1.6,270,type3,9.39,east_left_0,0,-2,2,10.07,9.06
6.7,4,-1.6,54.41,180,type2,11.04,north_down_0,0,0.54,-1,-1,-1
6.7,5,-1.6,72.59,180,type4,10.28,north_down_0,0,1.98,4,11.04,13.18
6.7,10101,-60.99,-1.6,90,obstacle,3.01,west_right_0,0,-4,-1,-1,-1
6.8,0,-73.62,-1.6,90,type1,4.04,west_right_0,0,-3.5,10101,2.62,7.89
6.8,1,-90.71,-1.6,90,type5,3.49,west_right_0,0,1.18,0,4.04,12.09
6.8,2,31.36,1.6,270,type3,9.87,east_left_0,0,-2,-1,-1,-1
6.8,3,45.46,1.6,270,type3,9.41,east_left_0,0,0.18,2,9.87,9.1
6.8,4,-1.6,53.28,180,type2,11.36,north_down_0,0,3.26,-1,-1,-1
6.8,5,-1.6,71.57,180,type4,10.21,north_down_0,0,-0.72,4,11.36,13.29
6.8,10101,-60.73,-1.6,90,obstacle,2.62,west_right_0,0,-3.95,-1,-1,-1
6.9,0,-73.23,-1.6,90,type1,3.86,west_right_0,0,-1.78,10101,2.22,7.72
6.9,1,-90.35,-1.6,90,type5,3.64,west_right_0,0,1.45,0,3.86,12.11
6.9,2,30.39,1.6,270,type3,9.67,east_left_0,0,-2,-1,-1,-1
6.9,3,44.54,1.6,270,type3,9.21,east_left_0,0,-2,2,9.67,9.15
6.9,4,-1.6,52.14,180,type2,11.34,north_down_0,0,-0.21,-1,-1,-1
